click_id,client_id,click_datetime,source,campaign,geo,device,placement,click_cost,ip,user_agent
1170,c_241,2025-09-01 21:35:55,email_aff,cashback_promo,VN,desktop,popup,1.01,30.108.73.109,Chrome
250,c_236,2025-09-01 21:57:43,email_aff,loan_cmp2,CO,desktop,comparison,0.69,155.203.192.249,Firefox
925,c_396,2025-09-01 22:26:32,network_x,lookalike,MX,desktop,comparison,1.36,152.181.235.184,Chrome
563,c_361,2025-09-01 22:38:14,google_ads,loan_cmp2,MX,mobile,comparison,0.96,180.153.182.125,Firefox
749,c_386,2025-09-01 22:52:15,facebook_ads,loan_cmp1,MX,desktop,comparison,0.76,85.167.128.212,Safari
15,c_387,2025-09-02 00:14:14,facebook_ads,brand_search,KZ,desktop,blog,0.45,225.129.147.126,Safari
579,c_430,2025-09-02 00:24:28,tiktok_ads,lookalike,MX,tablet,homepage,0.26,172.64.31.236,Safari
544,c_155,2025-09-02 01:03:52,tiktok_ads,cashback_promo,MX,desktop,homepage,1.18,66.52.92.171,Firefox
991,c_202,2025-09-02 05:44:01,botnet_01,display_ret,KZ,mobile,popup,1.25,10.10.10.10,Android WebView
555,c_103,2025-09-02 05:44:49,email_aff,lookalike,CO,desktop,comparison,0.14,253.192.202.69,Chrome
577,c_486,2025-09-02 06:19:23,google_ads,loan_cmp2,CO,desktop,popup,0.96,69.159.45.137,Safari
1122,c_320,2025-09-02 07:29:17,facebook_ads,brand_search,MX,mobile,homepage,0.34,130.104.242.243,Edge
136,c_177,2025-09-02 07:29:18,tiktok_ads,brand_search,CO,mobile,popup,1.36,6.39.170.243,Firefox
958,c_467,2025-09-02 08:30:14,network_x,lookalike,CO,mobile,blog,0.6,149.119.120.35,Chrome
19,c_99,2025-09-02 08:46:56,google_ads,display_ret,KZ,mobile,homepage,0.18,140.197.37.160,Firefox
860,c_253,2025-09-02 09:23:46,tiktok_ads,cashback_promo,MX,desktop,native_widget,1.46,19.187.181.244,Firefox
552,c_128,2025-09-02 10:06:44,facebook_ads,loan_cmp1,MX,desktop,popup,1.26,154.48.95.147,Chrome
1066,c_40,2025-09-02 10:44:58,tiktok_ads,brand_search,CO,desktop,native_widget,1.21,185.179.13.128,Firefox
695,c_339,2025-09-02 13:18:48,google_ads,cashback_promo,VN,desktop,homepage,0.49,55.61.89.8,Android WebView
679,c_54,2025-09-02 13:19:25,network_x,lookalike,VN,mobile,blog,1.13,242.130.94.194,Safari
592,c_351,2025-09-02 13:59:50,google_ads,lookalike,MX,desktop,comparison,1.5,31.115.232.26,Android WebView
1010,c_83,2025-09-02 14:39:59,facebook_ads,lookalike,MX,mobile,homepage,1.32,25.194.243.201,Chrome
255,c_188,2025-09-02 15:03:09,email_aff,brand_search,VN,mobile,homepage,0.46,4.158.223.102,Firefox
55,c_488,2025-09-02 17:11:17,tiktok_ads,cashback_promo,MX,desktop,blog,1.17,123.50.12.193,Edge
139,c_84,2025-09-02 17:57:54,tiktok_ads,loan_cmp2,CO,desktop,popup,1.0,193.168.204.184,Edge
1001,c_165,2025-09-02 18:25:30,google_ads,loan_cmp2,MX,tablet,popup,0.89,175.225.2.234,Chrome
5,c_264,2025-09-02 18:29:17,google_ads,loan_cmp2,MX,desktop,popup,0.8,106.4.54.221,Safari
190,c_364,2025-09-02 18:54:16,email_aff,brand_search,MX,desktop,blog,0.85,128.46.231.219,Firefox
794,c_414,2025-09-02 19:18:26,google_ads,cashback_promo,CO,mobile,blog,0.35,196.87.249.242,Edge
1140,c_220,2025-09-02 19:25:39,facebook_ads,loan_cmp1,CO,desktop,comparison,0.41,222.173.84.29,Safari
369,c_359,2025-09-02 20:55:01,facebook_ads,brand_search,CO,desktop,popup,1.42,115.244.68.214,Safari
497,c_183,2025-09-02 21:29:15,email_aff,display_ret,VN,mobile,comparison,0.99,134.205.192.100,Safari
28,c_20,2025-09-02 21:50:57,tiktok_ads,loan_cmp2,VN,mobile,popup,0.69,191.86.51.153,Safari
452,c_129,2025-09-02 22:43:08,facebook_ads,brand_search,MX,desktop,blog,0.91,21.122.70.96,Chrome
558,c_259,2025-09-02 22:52:37,network_x,loan_cmp1,CO,mobile,native_widget,1.12,90.186.62.251,Chrome
110,c_349,2025-09-02 23:00:56,tiktok_ads,loan_cmp1,VN,desktop,comparison,0.32,3.120.6.5,Android WebView
57,c_226,2025-09-02 23:07:31,facebook_ads,display_ret,CO,mobile,comparison,0.84,225.216.79.252,Safari
963,c_474,2025-09-03 00:20:18,tiktok_ads,loan_cmp2,MX,desktop,homepage,0.62,50.78.213.154,Firefox
406,c_19,2025-09-03 00:42:17,google_ads,display_ret,CO,mobile,popup,1.34,182.194.49.144,Safari
1106,c_449,2025-09-03 01:15:21,network_x,loan_cmp2,VN,mobile,comparison,1.03,6.191.148.149,Safari
692,c_446,2025-09-03 02:44:12,network_x,display_ret,MX,tablet,popup,1.24,16.78.208.59,Android WebView
597,c_498,2025-09-03 03:02:56,google_ads,brand_search,VN,mobile,homepage,0.83,5.13.147.140,Chrome
701,c_268,2025-09-03 03:47:43,tiktok_ads,lookalike,CO,desktop,homepage,0.08,1.209.25.187,Android WebView
529,c_431,2025-09-03 05:31:21,facebook_ads,loan_cmp1,VN,mobile,native_widget,0.89,233.40.67.153,Android WebView
247,c_483,2025-09-03 05:36:59,google_ads,display_ret,CO,mobile,homepage,0.49,214.249.152.250,Firefox
414,c_372,2025-09-03 05:49:15,tiktok_ads,lookalike,MX,mobile,native_widget,0.42,182.190.215.32,Android WebView
1196,c_484,2025-09-03 06:29:58,botnet_01,lookalike,VN,desktop,blog,1.35,10.10.10.10,Android WebView
1070,c_130,2025-09-03 06:38:21,tiktok_ads,brand_search,CO,mobile,popup,0.44,15.143.189.16,Edge
279,c_333,2025-09-03 07:10:51,tiktok_ads,cashback_promo,CO,desktop,popup,1.49,64.187.90.190,Chrome
124,c_387,2025-09-03 07:20:31,facebook_ads,display_ret,VN,desktop,native_widget,1.31,24.12.18.15,Edge
605,c_80,2025-09-03 07:53:20,email_aff,lookalike,CO,mobile,popup,1.02,171.228.240.17,Chrome
387,c_400,2025-09-03 08:00:07,google_ads,loan_cmp1,MX,mobile,blog,0.78,171.159.201.231,Android WebView
160,c_441,2025-09-03 08:55:17,tiktok_ads,display_ret,MX,mobile,blog,0.7,169.241.203.231,Edge
89,c_239,2025-09-03 09:41:51,tiktok_ads,lookalike,CO,desktop,blog,1.48,32.120.46.235,Edge
546,c_493,2025-09-03 10:18:42,tiktok_ads,display_ret,MX,mobile,native_widget,0.43,218.11.126.71,Android WebView
1109,c_395,2025-09-03 11:43:05,email_aff,display_ret,CO,mobile,popup,0.53,86.142.191.81,Android WebView
17,c_240,2025-09-03 13:50:11,email_aff,brand_search,MX,desktop,native_widget,0.52,164.147.90.195,Firefox
62,c_319,2025-09-03 14:00:28,facebook_ads,brand_search,MX,mobile,homepage,1.48,47.127.56.214,Safari
219,c_437,2025-09-03 14:08:59,email_aff,loan_cmp2,KZ,desktop,homepage,1.01,210.115.225.134,Firefox
437,c_340,2025-09-03 14:38:39,tiktok_ads,lookalike,MX,desktop,native_widget,0.34,78.77.245.249,Safari
677,c_107,2025-09-03 15:26:52,google_ads,display_ret,MX,desktop,blog,0.68,31.81.239.201,Safari
739,c_291,2025-09-03 15:52:04,google_ads,display_ret,MX,desktop,comparison,1.3,89.161.100.189,Android WebView
1101,c_290,2025-09-03 15:53:48,facebook_ads,brand_search,VN,desktop,popup,0.69,184.9.237.215,Edge
786,c_88,2025-09-03 16:25:36,facebook_ads,cashback_promo,CO,mobile,comparison,1.04,49.96.201.157,Safari
710,c_235,2025-09-03 16:43:14,network_x,brand_search,KZ,mobile,blog,0.24,64.95.180.34,Chrome
134,c_454,2025-09-03 16:45:15,email_aff,loan_cmp2,MX,mobile,comparison,0.34,35.189.93.182,Chrome
1120,c_455,2025-09-03 17:46:46,google_ads,lookalike,MX,desktop,popup,1.15,110.114.51.46,Edge
1197,c_444,2025-09-03 17:54:42,facebook_ads,display_ret,MX,mobile,native_widget,0.99,51.113.146.171,Edge
737,c_460,2025-09-03 18:12:12,tiktok_ads,lookalike,CO,mobile,popup,0.33,160.10.64.232,Android WebView
265,c_293,2025-09-03 18:37:35,google_ads,loan_cmp1,CO,desktop,homepage,0.35,206.227.236.105,Edge
510,c_57,2025-09-03 18:56:39,tiktok_ads,display_ret,CO,desktop,native_widget,0.86,250.76.130.203,Edge
9,c_33,2025-09-03 19:36:32,google_ads,loan_cmp2,MX,mobile,comparison,0.61,175.206.131.1,Android WebView
1074,c_336,2025-09-03 20:05:54,email_aff,display_ret,VN,desktop,homepage,1.26,214.183.203.96,Firefox
688,c_9,2025-09-03 20:46:44,tiktok_ads,loan_cmp1,MX,desktop,popup,0.47,203.180.136.4,Firefox
217,c_314,2025-09-03 21:41:52,tiktok_ads,loan_cmp2,VN,mobile,comparison,0.23,16.162.66.227,Edge
239,c_437,2025-09-03 21:56:43,network_x,loan_cmp2,CO,mobile,comparison,0.89,41.63.23.104,Firefox
615,c_337,2025-09-04 00:12:49,network_x,display_ret,VN,desktop,popup,1.1,157.81.224.135,Edge
807,c_400,2025-09-04 02:12:40,tiktok_ads,display_ret,KZ,mobile,homepage,0.54,158.173.123.218,Chrome
977,c_240,2025-09-04 03:46:20,google_ads,cashback_promo,MX,tablet,native_widget,1.34,247.233.86.64,Firefox
488,c_145,2025-09-04 04:21:36,google_ads,brand_search,MX,mobile,homepage,0.21,50.112.94.168,Safari
988,c_349,2025-09-04 04:33:37,google_ads,cashback_promo,MX,desktop,native_widget,0.79,130.249.111.94,Safari
940,c_289,2025-09-04 04:47:21,facebook_ads,display_ret,CO,mobile,popup,1.23,9.30.115.45,Edge
227,c_406,2025-09-04 05:03:50,tiktok_ads,lookalike,CO,mobile,comparison,0.79,28.4.150.76,Android WebView
1125,c_259,2025-09-04 06:54:52,email_aff,loan_cmp2,MX,mobile,native_widget,0.54,156.178.90.136,Safari
1075,c_223,2025-09-04 06:58:27,email_aff,cashback_promo,CO,desktop,comparison,0.24,80.154.102.25,Edge
1145,c_70,2025-09-04 07:16:59,network_x,display_ret,MX,desktop,blog,0.78,212.24.216.55,Safari
1127,c_30,2025-09-04 08:26:39,network_x,loan_cmp1,VN,desktop,homepage,0.64,91.200.252.188,Firefox
834,c_390,2025-09-04 08:46:29,botnet_01,lookalike,VN,mobile,comparison,0.57,10.10.10.10,Android WebView
112,c_160,2025-09-04 09:38:21,tiktok_ads,loan_cmp1,MX,mobile,homepage,1.3,11.105.184.67,Firefox
1091,c_465,2025-09-04 09:55:39,email_aff,display_ret,CO,tablet,popup,1.07,164.70.254.137,Android WebView
1152,c_16,2025-09-04 12:15:04,google_ads,brand_search,KZ,mobile,native_widget,0.56,86.31.3.30,Android WebView
1035,c_154,2025-09-04 12:51:21,google_ads,cashback_promo,CO,desktop,comparison,0.52,233.254.38.221,Edge
117,c_499,2025-09-04 13:34:05,network_x,display_ret,MX,desktop,blog,1.15,12.39.194.224,Android WebView
566,c_301,2025-09-04 13:38:23,network_x,brand_search,MX,tablet,popup,0.35,59.209.243.182,Chrome
76,c_448,2025-09-04 14:15:56,google_ads,loan_cmp1,CO,mobile,comparison,0.27,97.253.229.155,Chrome
1104,c_412,2025-09-04 15:03:30,facebook_ads,brand_search,CO,mobile,homepage,0.68,185.44.13.152,Edge
847,c_37,2025-09-04 15:30:28,facebook_ads,display_ret,CO,mobile,comparison,1.04,232.25.231.143,Android WebView
575,c_114,2025-09-04 16:31:13,email_aff,loan_cmp2,VN,desktop,native_widget,0.71,177.172.231.208,Firefox
459,c_214,2025-09-04 16:47:10,facebook_ads,lookalike,CO,tablet,homepage,1.14,183.35.183.14,Chrome
289,c_367,2025-09-04 17:00:50,network_x,loan_cmp1,VN,mobile,blog,0.8,177.215.181.248,Edge
218,c_47,2025-09-04 17:34:38,google_ads,brand_search,CO,tablet,comparison,0.49,191.21.227.57,Android WebView
1087,c_128,2025-09-04 19:27:27,facebook_ads,display_ret,KZ,desktop,blog,0.05,53.110.9.203,Safari
514,c_237,2025-09-04 19:30:47,facebook_ads,loan_cmp1,MX,desktop,native_widget,0.87,53.106.153.44,Edge
670,c_188,2025-09-04 21:30:00,google_ads,brand_search,CO,desktop,native_widget,0.31,253.251.88.194,Chrome
866,c_227,2025-09-04 21:51:12,network_x,brand_search,MX,desktop,homepage,1.04,130.31.108.225,Edge
524,c_498,2025-09-04 22:01:55,network_x,lookalike,MX,desktop,popup,1.18,109.44.7.249,Edge
556,c_258,2025-09-04 22:53:41,tiktok_ads,loan_cmp2,KZ,mobile,popup,1.4,239.70.240.177,Firefox
1151,c_152,2025-09-05 01:19:59,tiktok_ads,loan_cmp1,VN,desktop,homepage,1.21,146.42.241.30,Android WebView
69,c_62,2025-09-05 01:47:49,network_x,lookalike,CO,desktop,popup,1.45,68.19.212.225,Edge
469,c_56,2025-09-05 02:12:31,tiktok_ads,cashback_promo,CO,mobile,comparison,1.29,128.113.171.17,Safari
746,c_125,2025-09-05 02:12:53,email_aff,cashback_promo,CO,tablet,homepage,0.86,26.129.4.39,Safari
390,c_407,2025-09-05 02:36:57,tiktok_ads,display_ret,VN,mobile,homepage,0.88,112.120.123.191,Firefox
568,c_215,2025-09-05 04:35:59,network_x,lookalike,MX,mobile,homepage,1.0,233.127.199.160,Edge
1072,c_84,2025-09-05 05:34:56,network_x,display_ret,MX,mobile,native_widget,0.3,65.122.62.182,Edge
400,c_285,2025-09-05 05:38:43,google_ads,loan_cmp2,MX,mobile,blog,0.9,19.215.34.141,Firefox
282,c_187,2025-09-05 06:16:41,botnet_01,display_ret,VN,mobile,homepage,1.19,10.10.10.10,Android WebView
507,c_287,2025-09-05 06:36:17,google_ads,brand_search,VN,desktop,homepage,0.94,179.114.253.246,Safari
402,c_148,2025-09-05 07:22:33,email_aff,cashback_promo,MX,desktop,comparison,0.1,44.34.77.42,Chrome
851,c_57,2025-09-05 07:34:28,network_x,lookalike,MX,desktop,popup,0.7,233.220.80.41,Edge
470,c_130,2025-09-05 07:51:47,network_x,display_ret,VN,desktop,homepage,0.05,51.105.165.232,Chrome
376,c_366,2025-09-05 09:50:40,tiktok_ads,loan_cmp2,CO,mobile,blog,0.12,108.47.215.196,Firefox
1058,c_325,2025-09-05 09:59:10,facebook_ads,lookalike,MX,mobile,popup,1.41,52.207.234.24,Safari
980,c_417,2025-09-05 11:14:44,tiktok_ads,loan_cmp2,VN,mobile,homepage,0.34,77.141.40.107,Edge
321,c_495,2025-09-05 11:33:25,tiktok_ads,loan_cmp1,MX,desktop,blog,1.19,94.150.246.33,Chrome
353,c_138,2025-09-05 12:27:05,facebook_ads,brand_search,MX,desktop,popup,1.22,223.82.192.166,Safari
676,c_354,2025-09-05 12:40:47,facebook_ads,display_ret,MX,desktop,homepage,0.43,28.223.23.240,Android WebView
44,c_168,2025-09-05 15:11:33,google_ads,display_ret,VN,desktop,native_widget,1.48,240.109.65.86,Edge
862,c_67,2025-09-05 15:31:34,google_ads,display_ret,CO,desktop,comparison,0.06,77.43.139.176,Chrome
456,c_99,2025-09-05 15:47:07,network_x,display_ret,VN,mobile,popup,1.15,52.199.130.246,Edge
751,c_387,2025-09-05 16:38:04,google_ads,display_ret,CO,mobile,homepage,1.03,155.173.4.86,Safari
80,c_111,2025-09-05 16:44:39,email_aff,lookalike,KZ,mobile,popup,0.08,127.106.241.92,Safari
1190,c_283,2025-09-05 16:46:00,google_ads,loan_cmp1,CO,tablet,comparison,1.17,4.231.133.139,Android WebView
926,c_8,2025-09-05 16:56:49,tiktok_ads,lookalike,MX,mobile,blog,0.72,118.81.208.70,Firefox
168,c_466,2025-09-05 17:12:09,tiktok_ads,lookalike,VN,mobile,popup,0.78,49.42.166.82,Android WebView
570,c_83,2025-09-05 17:41:08,email_aff,lookalike,MX,mobile,popup,0.84,68.36.180.181,Safari
769,c_469,2025-09-05 18:30:15,tiktok_ads,lookalike,CO,desktop,popup,1.12,120.179.32.178,Chrome
174,c_190,2025-09-05 18:35:18,facebook_ads,cashback_promo,CO,mobile,homepage,0.37,221.52.164.124,Safari
162,c_379,2025-09-05 18:53:31,facebook_ads,cashback_promo,CO,mobile,popup,0.39,149.8.230.200,Safari
908,c_370,2025-09-05 20:13:48,google_ads,loan_cmp2,CO,desktop,homepage,1.26,231.113.170.236,Safari
975,c_57,2025-09-05 21:40:38,google_ads,loan_cmp2,MX,desktop,blog,1.16,153.67.90.4,Safari
135,c_391,2025-09-05 21:45:39,tiktok_ads,loan_cmp2,KZ,mobile,popup,1.12,126.20.188.152,Safari
192,c_377,2025-09-05 22:56:57,email_aff,lookalike,VN,mobile,comparison,0.58,125.132.20.138,Firefox
824,c_255,2025-09-05 23:15:07,facebook_ads,cashback_promo,CO,desktop,native_widget,1.27,99.125.168.54,Safari
457,c_279,2025-09-05 23:53:26,tiktok_ads,loan_cmp1,KZ,desktop,comparison,0.27,31.178.20.236,Chrome
1049,c_348,2025-09-06 00:16:21,tiktok_ads,display_ret,MX,tablet,blog,0.12,137.244.137.191,Android WebView
436,c_123,2025-09-06 01:31:55,google_ads,lookalike,VN,desktop,comparison,0.63,77.93.147.67,Safari
1030,c_28,2025-09-06 01:57:18,facebook_ads,loan_cmp2,VN,desktop,homepage,0.72,131.43.47.99,Safari
418,c_204,2025-09-06 01:58:50,tiktok_ads,cashback_promo,VN,mobile,comparison,0.95,141.141.188.185,Edge
1113,c_340,2025-09-06 02:23:51,tiktok_ads,loan_cmp1,CO,mobile,native_widget,0.38,127.156.16.54,Android WebView
965,c_497,2025-09-06 02:27:11,network_x,loan_cmp1,MX,desktop,homepage,0.38,141.178.101.6,Android WebView
238,c_357,2025-09-06 02:55:16,google_ads,brand_search,MX,mobile,homepage,1.05,146.164.99.173,Chrome
295,c_81,2025-09-06 05:24:16,network_x,display_ret,CO,mobile,comparison,0.23,122.167.253.126,Chrome
291,c_317,2025-09-06 05:41:06,facebook_ads,lookalike,MX,desktop,popup,1.01,239.169.197.141,Safari
1134,c_268,2025-09-06 05:52:39,tiktok_ads,loan_cmp1,MX,tablet,popup,0.2,196.251.68.157,Android WebView
252,c_328,2025-09-06 06:03:46,network_x,brand_search,CO,desktop,comparison,0.7,13.175.238.189,Safari
498,c_12,2025-09-06 06:21:24,network_x,loan_cmp2,CO,desktop,comparison,1.18,187.69.11.143,Firefox
715,c_330,2025-09-06 07:01:27,tiktok_ads,lookalike,CO,desktop,homepage,0.86,89.146.182.1,Android WebView
306,c_403,2025-09-06 09:35:10,tiktok_ads,display_ret,MX,desktop,comparison,0.87,73.225.96.48,Chrome
994,c_370,2025-09-06 09:37:20,google_ads,loan_cmp2,VN,tablet,homepage,0.58,68.48.57.75,Edge
831,c_400,2025-09-06 10:20:11,google_ads,loan_cmp2,CO,mobile,popup,1.3,71.214.179.65,Android WebView
658,c_43,2025-09-06 10:31:49,google_ads,lookalike,VN,desktop,homepage,1.01,153.125.79.90,Firefox
706,c_319,2025-09-06 12:15:35,facebook_ads,loan_cmp1,MX,desktop,homepage,0.52,206.172.119.74,Edge
611,c_410,2025-09-06 14:43:34,facebook_ads,cashback_promo,MX,mobile,blog,1.28,115.75.156.248,Safari
198,c_50,2025-09-06 14:44:32,google_ads,lookalike,MX,mobile,native_widget,1.4,51.245.147.170,Firefox
712,c_107,2025-09-06 16:21:45,facebook_ads,loan_cmp2,MX,mobile,blog,1.3,125.247.179.73,Firefox
984,c_164,2025-09-06 16:28:50,facebook_ads,loan_cmp2,MX,mobile,homepage,1.28,54.116.144.62,Edge
1086,c_496,2025-09-06 16:33:38,email_aff,brand_search,MX,tablet,homepage,1.32,189.212.55.195,Firefox
499,c_378,2025-09-06 17:46:56,email_aff,loan_cmp1,CO,mobile,native_widget,0.8,72.149.121.11,Safari
193,c_154,2025-09-06 17:53:49,facebook_ads,loan_cmp1,MX,desktop,blog,0.57,57.173.20.17,Edge
961,c_429,2025-09-06 18:11:56,facebook_ads,brand_search,VN,mobile,comparison,1.04,251.26.214.21,Edge
47,c_461,2025-09-06 18:47:21,google_ads,brand_search,MX,desktop,homepage,0.07,160.173.61.47,Android WebView
804,c_336,2025-09-06 20:00:10,network_x,loan_cmp2,MX,desktop,native_widget,0.51,3.52.74.125,Edge
639,c_463,2025-09-06 20:28:39,tiktok_ads,display_ret,VN,desktop,blog,0.68,62.197.210.144,Chrome
1037,c_423,2025-09-06 20:34:41,facebook_ads,cashback_promo,MX,mobile,comparison,0.27,94.27.199.155,Chrome
727,c_178,2025-09-06 20:41:59,google_ads,display_ret,CO,desktop,popup,1.48,118.80.94.226,Chrome
211,c_72,2025-09-06 21:24:27,email_aff,loan_cmp2,CO,desktop,popup,0.29,80.131.109.3,Firefox
873,c_106,2025-09-06 21:40:47,email_aff,loan_cmp1,MX,desktop,homepage,0.57,20.112.120.194,Edge
468,c_98,2025-09-06 23:19:41,google_ads,loan_cmp1,MX,desktop,homepage,1.47,54.130.209.101,Chrome
115,c_115,2025-09-06 23:57:11,network_x,display_ret,CO,mobile,homepage,1.21,168.92.97.59,Firefox
571,c_434,2025-09-07 00:26:22,google_ads,display_ret,CO,mobile,popup,0.44,54.90.85.17,Edge
90,c_500,2025-09-07 01:13:45,email_aff,loan_cmp1,CO,desktop,blog,0.17,151.85.147.112,Android WebView
63,c_28,2025-09-07 01:25:22,facebook_ads,display_ret,VN,desktop,comparison,1.35,238.107.239.252,Android WebView
756,c_338,2025-09-07 03:21:49,email_aff,brand_search,KZ,mobile,homepage,0.5,63.112.89.160,Firefox
620,c_462,2025-09-07 03:39:23,google_ads,loan_cmp2,KZ,mobile,homepage,0.3,234.250.148.83,Edge
384,c_390,2025-09-07 04:05:19,google_ads,display_ret,KZ,mobile,native_widget,0.4,143.19.63.235,Edge
103,c_371,2025-09-07 05:23:46,network_x,display_ret,CO,mobile,popup,0.51,234.103.17.14,Firefox
1199,c_88,2025-09-07 05:28:48,email_aff,brand_search,CO,desktop,homepage,0.12,178.24.2.227,Android WebView
1060,c_86,2025-09-07 05:33:30,google_ads,brand_search,MX,desktop,popup,1.14,92.83.191.84,Edge
361,c_190,2025-09-07 05:47:42,botnet_01,brand_search,MX,mobile,popup,0.43,10.10.10.10,Android WebView
1175,c_30,2025-09-07 05:49:58,network_x,display_ret,KZ,mobile,blog,0.97,46.18.141.153,Safari
536,c_18,2025-09-07 05:56:51,email_aff,brand_search,CO,mobile,blog,0.18,38.187.137.251,Chrome
93,c_370,2025-09-07 06:35:52,google_ads,loan_cmp2,VN,mobile,homepage,0.25,235.238.4.154,Safari
